mun,pop,gfrac,bfrac,sfrac,S,k,lon,lat,norm_gfrac,norm_sfrac,lang_coeff
A Arnoia,1171,0.167,0.75,0.083,0.54,0.8,-8.14,42.26,0.668,0.332,0.336
A Baña,335,0.192,0.59,0.218,0.49,0.75,-8.76,42.96,0.46829268292682924,0.5317073170731706,-0.06341463414634141
A Bola,106,0.5,0.467,0.033,0.64,0.76,-7.95,42.1,0.9380863039399624,0.06191369606003752,0.8761726078799249
A Capela,230,0.081,0.435,0.484,0.17,0.83,-8.06,43.44,0.1433628318584071,0.856637168141593,-0.7132743362831859
A Cañiza,1907,0.132,0.579,0.289,0.45,0.78,-8.27,42.21,0.3135391923990499,0.6864608076009501,-0.37292161520190015
A Coruña,244810,0.02,0.475,0.505,0.3,0.78,-8.4,43.37,0.03809523809523809,0.9619047619047618,-0.9238095238095237
A Estrada,8479,0.48,0.36,0.16,0.58,0.69,-8.49,42.69,0.75,0.25,0.5
A Fonsagrada,1229,0.476,0.476,0.048,0.63,0.82,-7.07,43.12,0.9083969465648855,0.0916030534351145,0.8167938931297709
A Guarda,10484,0.132,0.579,0.289,0.45,0.78,-8.87,41.9,0.3135391923990499,0.6864608076009501,-0.37292161520190015
A Gudiña,792,0.5,0.467,0.033,0.64,0.76,-7.14,42.06,0.9380863039399624,0.06191369606003752,0.8761726078799249
A Illa de Arousa,2430,0.282,0.615,0.103,0.62,0.79,-8.88,42.62,0.7324675324675325,0.26753246753246757,0.4649350649350649
A Lama,249,0.058,0.481,0.462,0.16,0.8,-8.44,42.4,0.11153846153846154,0.8884615384615385,-0.7769230769230769
A Laracha,2580,0.657,0.286,0.057,0.71,0.85,-8.58,43.25,0.9201680672268907,0.07983193277310924,0.8403361344537814
A Merca,244,0.5,0.467,0.033,0.64,0.76,-7.9,42.22,0.9380863039399624,0.06191369606003752,0.8761726078799249
A Mezquita,380,0.5,0.467,0.033,0.64,0.76,-7.05,42.01,0.9380863039399624,0.06191369606003752,0.8761726078799249
A Pastoriza,190,0.154,0.641,0.205,0.5,0.78,-7.35,43.3,0.42896935933147634,0.5710306406685237,-0.14206128133704737
A Peroxa,337,0.073,0.6,0.327,0.35,0.8,-7.8,42.44,0.18249999999999997,0.8175,-0.635
A Pobra de Trives,2191,0.188,0.5,0.313,0.17,0.73,-7.25,42.34,0.37524950099800397,0.624750499001996,-0.249500998003992
A Pobra do Brollón,238,0.222,0.611,0.167,0.54,0.76,-7.39,42.56,0.570694087403599,0.42930591259640105,0.1413881748071979
A Pobra do Caramiñal,4468,0.282,0.615,0.103,0.62,0.79,-8.94,42.6,0.7324675324675325,0.26753246753246757,0.4649350649350649
A Pontenova,858,0.318,0.545,0.136,0.56,0.76,-7.19,43.35,0.7004405286343612,0.29955947136563876,0.4008810572687225
A Rúa,4664,0.188,0.5,0.313,0.17,0.73,-7.11,42.4,0.37524950099800397,0.624750499001996,-0.249500998003992
A Teixeira,104,0.188,0.5,0.313,0.17,0.73,-7.57,42.38,0.37524950099800397,0.624750499001996,-0.249500998003992
A Veiga,257,0.188,0.5,0.313,0.17,0.73,-7.02,42.25,0.37524950099800397,0.624750499001996,-0.249500998003992
Abadín,116,0.154,0.641,0.205,0.5,0.78,-7.47,43.36,0.42896935933147634,0.5710306406685237,-0.14206128133704737
Abegondo,646,0.02,0.475,0.505,0.3,0.78,-8.29,43.23,0.03809523809523809,0.9619047619047618,-0.9238095238095237
Agolada,483,0.48,0.36,0.16,0.58,0.69,-8.02,42.76,0.75,0.25,0.5
Alfoz,226,0.318,0.545,0.136,0.56,0.76,-7.42,43.53,0.7004405286343612,0.29955947136563876,0.4008810572687225
Allariz,3328,0.188,0.5,0.313,0.17,0.73,-7.8,42.19,0.37524950099800397,0.624750499001996,-0.249500998003992
Ames,7166,0.192,0.59,0.218,0.49,0.75,-8.65,42.86,0.46829268292682924,0.5317073170731706,-0.06341463414634141
Amoeiro,426,0.073,0.6,0.327,0.35,0.8,-7.95,42.41,0.18249999999999997,0.8175,-0.635
Antas de Ulla,674,0.154,0.641,0.205,0.5,0.78,-7.89,42.78,0.42896935933147634,0.5710306406685237,-0.14206128133704737
Aranga,520,0.02,0.475,0.505,0.3,0.78,-8.02,43.24,0.03809523809523809,0.9619047619047618,-0.9238095238095237
Arbo,287,0.132,0.579,0.289,0.45,0.78,-8.31,42.11,0.3135391923990499,0.6864608076009501,-0.37292161520190015
Ares,3814,0.081,0.435,0.484,0.17,0.83,-8.24,43.43,0.1433628318584071,0.856637168141593,-0.7132743362831859
Arteixo,12098,0.02,0.475,0.505,0.3,0.78,-8.51,43.3,0.03809523809523809,0.9619047619047618,-0.9238095238095237
Arzúa,6500,0.4,0.52,0.08,0.6,0.75,-8.16,42.93,0.8333333333333333,0.16666666666666666,0.6666666666666666
As Neves,465,0.132,0.579,0.289,0.45,0.78,-8.42,42.09,0.3135391923990499,0.6864608076009501,-0.37292161520190015
As Nogais,216,0.476,0.476,0.048,0.63,0.82,-7.11,42.81,0.9083969465648855,0.0916030534351145,0.8167938931297709
As Pontes de García Rodríguez,9513,0.081,0.435,0.484,0.17,0.83,-7.85,43.45,0.1433628318584071,0.856637168141593,-0.7132743362831859
As Somozas,66,0.081,0.435,0.484,0.17,0.83,-7.94,43.5,0.1433628318584071,0.856637168141593,-0.7132743362831859
Avión,164,0.167,0.75,0.083,0.54,0.8,-8.26,42.4,0.668,0.332,0.336
Baiona,3014,0.039,0.512,0.449,0.24,0.8,-8.85,42.12,0.07991803278688525,0.9200819672131147,-0.8401639344262295
Baleira,185,0.154,0.641,0.205,0.5,0.78,-7.35,43.13,0.42896935933147634,0.5710306406685237,-0.14206128133704737
